date,total_kwh
2020-02-13,747.371444444409
2020-02-14,600.098000000001
2020-02-15,650.295555555566
2020-02-16,236.149111111104
2020-02-17,488.888777777767
2020-02-18,694.766777777769
2020-02-19,938.72722222215
2020-02-20,1047.34822222218
2020-02-21,1093.4347777778
2020-02-22,1034.42044444445
2020-02-23,923.319666666582
2020-02-24,998.191666666695
2020-02-25,779.180555555549
2020-02-26,813.618333333319
2020-02-27,799.260333333316
2020-02-28,434.421555555557
2020-02-29,739.096444444445
2020-03-01,673.77622222223
2020-03-02,762.248444444452
2020-03-03,781.180777777775
2020-03-04,577.00977777778
2020-03-05,495.158444444445
2020-03-06,932.132222222223
2020-03-07,997.435666666688
2020-03-08,961.995333333322
2020-03-09,983.572444444448
2020-03-10,905.295999999981
2020-03-11,756.245999999989
